Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
9104305.833333334,0.0,0.2829333226668297,0.0,0.0,0.2715913267046627,0.0,0.0,0.1364228116604533,0.0927857487212781,0.4676881918601335,0.0,0.0
25267460.166666668,0.0060811282832997,0.0107165367979439,0.0,0.0,0.0516752834694947,0.0,0.0032209146782666,0.0528571460892313,0.007812610845381,0.0633688212469791,0.0,0.0
107862333.33333331,0.067470263020455,0.141757858010365,0.0,0.0069873017148402,0.510320253903896,0.0,0.0,0.1527579908958024,0.0732183307734859,0.1333907109988967,0.0110449430910388,0.0212168597625986
242817406.3333333,0.0151260641571331,0.3061053418247601,0.0012554165889636,0.132344743396272,0.3993993770784299,0.0246796262418963,0.0,0.0849663517875837,0.1777394585711324,0.1886949478837403,0.0853893548232845,0.0
159161000.0,0.0229673098309259,0.3044537711290245,0.0235589539313441,0.1700091940446047,0.3674172693059229,0.0160812007966775,0.0223746185728078,0.0846899261334958,0.1360687186768953,0.193928370224699,0.1756921188817193,0.0
193183209.0,0.0043076837318023,0.337859214082455,0.0,0.090484417652813,0.4371698042694107,0.0,0.0,0.0338922157567017,0.2023346457955704,0.2061640227748779,0.1131161180093383,0.0073231933941008
75567333.33333333,0.0450177016523894,0.2793063073991407,0.0,0.0768652239503842,0.4624242397508624,0.0,0.0,0.0996925479263526,0.1086889396652874,0.2389899515663734,0.075894786989087,0.0
3025920968.333333,0.0089518751316186,0.0104686034427774,0.0,0.0118462556386848,0.0748999794459822,0.0852391432886845,0.0,0.0154886033565116,0.0075088509926223,0.0271849716810818,0.0121053794475589,0.0
114803876.16666669,0.0131932551748902,0.4445314336998351,0.009978340496131,0.1597057051748181,0.3514564898031601,0.0,0.0507453699403764,0.0609052185356163,0.1895260862250474,0.1658359032438999,0.1475487332449345,0.0
467453.8333333333,0.0,0.0,0.0,0.0,0.1083222835196203,0.0,0.0,0.1330954964180063,0.2476875613028452,0.4780860712448253,0.0,0.0
