,unitid,log_yield_per_dollar,Total expenses,Institutional grants (funded)_per_dollar,Institutional grants (unfunded)_per_dollar,Sales and services of educational activities - Total_per_dollar,Sales and services of auxiliary enterprises - Total_per_dollar,Instruction-Total amount_per_dollar,Research-Total amount_per_dollar,Public service-Total amount_per_dollar,Academic support-Total amount_per_dollar,Student service-Total amount_per_dollar,Institutional support-Total amount_per_dollar,Auxiliary enterprises-Total amount_per_dollar,Net grant aid to students-Total amount_per_dollar
983,218539,0.05717381051413133,44362255.0,0.08148434218834608,0.4694239844209903,0.0014869510127472104,0.21897344563150214,0.3486061668115533,0.0,0.0,0.10758340996567164,0.2513052406075089,0.1614828867468527,0.13102229586841335,0.0
984,218821,2.124464802627674,14518359.333333334,0.06369065623071551,0.30509542423503405,0.0,0.300092368104587,0.23122315381917122,0.0,0.0,0.07586589559086543,0.13591846856524972,0.30823254409049616,0.2457125550320447,0.0
985,218919,0.4025540673532134,13424962.5,0.007550958398083669,0.036345626043027435,0.0,0.18578493856748826,0.24814951997072618,0.0,0.0,0.11179168408602011,0.11510461698992952,0.3699294132106514,0.1505779500935912,0.0
986,218973,-0.7218120259203791,69144750.5,0.11855597772386206,0.4141577554273866,0.0,0.25653347320994385,0.3050464378106814,0.0,0.013544785779989667,0.09365484899199494,0.2608006952024507,0.14716568878693595,0.17978754342794734,0.0
987,219000,0.5709937352171798,51375825.166666664,0.05771123526901601,0.5117013124632669,0.039250633155280615,0.16808147876268822,0.4494087428298921,0.02489169752215918,0.03320004420626484,0.08746360735662605,0.11078637306299097,0.15656074571856593,0.13583032766925454,0.0
988,219091,1.3535677170345564,17439960.5,0.05879305173884998,0.4268926813223,0.0,0.17779143861401903,0.2618440754687107,0.008355103021401147,0.023359934406579266,0.05240714277993921,0.2744617454838846,0.20131180916378796,0.171407660776143,0.0
989,219198,1.8214868021702977,15980030.5,0.01654997884182178,0.18420214112440733,0.0,0.16191578399469678,0.4090896342990918,0.0,0.0,0.050024497763004896,0.1871922376284993,0.21676434430668537,0.0941810363461655,0.0
990,219240,3.8900886726647315,3219968.8333333335,0.0,0.04805983370542975,0.0,0.48654399501692897,0.23545020855015522,0.0,0.0,0.01713308508731425,0.02462689468060586,0.21751675339714724,0.38073427522305725,0.0
991,219295,2.1504820558497655,15411163.0,0.0512509017002805,0.2117441644951347,0.0,0.13276386084554423,0.281437304028688,0.0,0.0,0.1020963072892898,0.2211938190518133,0.1727217904752981,0.13077440467449905,0.0
992,219383,0.7168314308063428,25988892.166666668,0.03171767877010892,0.4185120934326346,0.0,0.14324810292510032,0.32959554201338825,0.0007007609205966347,0.0024155832780688043,0.06009606552871341,0.2855104642045374,0.19364170281132861,0.12803988124336682,0.0
993,219578,2.491748202090143,9273844.5,0.02192850009507923,0.1750710290645913,0.0,0.035551814568380996,0.407983765524643,0.0,0.0,0.13343506029241703,0.12611743705644407,0.30229636694900375,0.030167370177492193,0.0
994,219639,2.0764039887976184,16920934.666666668,0.013149234230638638,0.0,0.0,0.0,0.5098509530718593,0.0,0.0,0.11155330387186649,0.1783517021636551,0.1480303570307109,0.0,0.0
995,219709,-1.36253341965963,173628388.5,0.022591839390749553,0.3105097298072314,0.0,0.21629542068423527,0.4504902520592132,0.0,0.0,0.10218873280621389,0.1608174489277138,0.16431591100860407,0.12218765519825503,0.0
996,219718,1.3755096505555182,54385802.5,0.006352288969779077,0.23289498516945972,0.017312453312915015,0.12907863530498914,0.5017014137099476,0.0,0.0,0.07800938795868034,0.1801867867997351,0.1649170265223784,0.07518538500925862,0.0
997,219790,2.403837228276294,17117130.5,0.013701770866325989,0.5371910418435302,0.0,0.21521208436970984,0.28443659603654553,0.0,0.0,0.07341522575878007,0.2843334926961035,0.23168090780947972,0.12613377769909118,0.0
998,219806,0.2414323185952032,42145482.166666664,0.03737382005591244,0.5390857572068827,0.0,0.18344776480253264,0.31994774940151455,0.0,0.0,0.06100281377332129,0.26759531714615215,0.15105562145010143,0.1638772883418548,0.0
999,219833,0.8725050701636837,47822775.833333336,0.06585811770894172,0.42483983093759836,0.0,0.11029093511946042,0.2926470931362882,0.0,0.0,0.06400465287364557,0.07784192298470895,0.16999823183970691,0.0824135069114819,0.002515917668309056
1000,219949,2.3138806907976033,25052616.333333332,0.03894913889832052,0.5212624033452581,0.0,0.1908998020951877,0.3246124366864198,0.0,0.0,0.017160769196574534,0.2029597866751083,0.21727885666339386,0.10926967854016154,0.11722808219271949
1001,219976,-0.22266611446264872,145484975.5,0.02462455765177392,0.23152513436000818,0.0,0.13798728080114822,0.35583425359731846,0.0030532809210941513,0.014664379094825042,0.09609137726161053,0.14864171546932922,0.19477438525373136,0.09956903992009357,0.0
1002,220181,-0.41123022484224325,28431047.333333332,0.08963718911890947,0.22863051521774166,0.0,0.24614841835701162,0.212082221100496,0.13559356858960595,0.0,0.12712778244234454,0.1356085053121856,0.19486703866531263,0.19472088389005532,0.0
1003,220215,0.9152999105455741,35950529.666666664,0.08089389855906527,0.34459029157187476,0.007613568864525491,0.2525936451432348,0.33791779368220526,0.0,0.0,0.12846501037643498,0.1465231865985767,0.20736600366639013,0.17972800567639297,0.0
1004,220312,3.381324792163242,5816414.75,0.019769566810894975,0.17859868057036338,0.0,0.14954173445076283,0.17384265797070267,0.0,0.07990678450156946,0.014550286325437848,0.16650570697352696,0.35738824333323205,0.06751947150948959,0.0
